Name,Category,Type,Details,Unlocked Level,Magazine Size,Firepower %,Speed %,Accuracy %,Ammo %
XM4,Assault Rifles,Primary,Full-auto assault rifle. Reliable damage with improved fire rate. Fair weapon control when sustaining fire.,Default,30 rounds,36,40,46,30
AK-47,Assault Rifles,Primary,Full-auto assault rifle. high damage with a marginally slower fire rate. Excellent stopping power for mid-range encounters,Level 7,30 rounds,50,35,30,33
 Krig 6,Assault Rifles,Primary,Full-auto assault rifle. Improved damage and accuracy. Excellent weapon control and visibility when sustaining fire,Level 16,30 rounds,46,40,50,43
QBZ-83,Assault Rifles,Primary,Full-auto assault rifle. Superior mobility with improved handling speeds. Erratic initial recoil with less accurate hipfire spread,Level 31,30 rounds,42,50,40,35
FFAR 1,Assault Rifles,Primary,Full-auto assault rifle. Fast fire rate with quick reloading speeds. Modest damage and slightly less ammo capacity,Level 40,25 rounds,38,43,35,40
Groza,Assault Rifles,Primary,Fully-auto assault rifle. Excellent handling speeds with improved damage. Fast fire rate and fair damage range,Challenge,30 rounds,45,44,42,38
FARA 83,Assault Rifles,Primary,Full-auto assault rifle. High fire rate and muzzle velocity provides reliable stopping power from long range. Slightly heavier recoil with slower handling speeds,Challenge,30 rounds,51,32,37,33
C58,Assault Rifles,Primary,Full-auto assault rifle. High damage at close range with a slower fire rate. Fast bullet velocity and reliable recoil control with less ammo capacity,Battle Pass Tier 31,20 rounds,43,33,45,28
EM2,Assault Rifles,Primary,Full-auto assault rifle. Well rounded Britch rifle with good firing control. Built in low-zoom optic improves accuracy. Slower fire rate with reliable range,Battle Pass,30 rounds,45,35,40,20
Grav,Assault Rifles,Primary,Full-auto assault rifle. Fast firing rifle with improved range. Fastest bullet velocity in class with modest damage and moderate recoil,Battle Pass,35 rounds,47,40,38,35
Vargo 52,Assault Rifles,Primary,Full-auto assault rifle. Good damage at mid-range with a fast fire rate. Improved muzzle velocity and reliable handling for steady firing control,Challenge,30 rounds,50,38,39,44
MP5,Submachine Guns,Primary,Full-auto submachine gun. Fast fire rate with low recoil. Good visibility and control while firing.,Default,30 rounds,33,38,43,30
Milano 821,Submachine Guns,Primary,Full-auto submachine gun. High damage with a slower fire rate and fair recoil. Improved handling speeds with more accurate hipfire spread.,Level 13,30 rounds,43,50,45,38
AK-74u,Submachine Guns,Primary,Full-auto submachine gun. Improved damage with reliable weapon control. Utilizes 5.35mm ammo for superior bullet velocity.,Level 19,30 rounds,44,35,40,36
KSP 45,Submachine Guns,Primary,3-round burst submachine gun. High damage with moderate range. Burst fire spread is less efficient at long-range.,Level 37,30 rounds,47,40,44,37
Bullfrog,Submachine Guns,Primary,Full-auto submachine gun. Reliable damage with improved range. Large ammo pool and less accurate hipfire spread.,Level 43,50 rounds,34,47,42,49
Mac-10,Submachine Guns,Primary,Full-auto submachine gun. Fastest fire rate in class with higher vertical recoil. Improved handling speeds with reduced damage,Challenge,32 rounds,39,46,34,45
LC10,Submachine Guns,Primary,Full-auto submachine gun. Well rounded with excellent damage range and good accuracy. Moderate damage with an impressive muzzle velocity and a high fire rate.,Challenge,34 rounds,36,42,50,46
PPSh-41,Submachine Guns,Primary,Full-auto submachine gun. Faster fire rate with a large bullet spread. Reliable damage range with less control when firing.,Battle Pass Tier 15,32 rounds,41,45,38,43
OTs 9,Submachine Guns,Primary,Full-auto submachine gun. Impressive firepower at close range with good visibility while firing. Reliable recoil control with a smaller magazine size.,Challenge,30 rounds,41,43,46,25
TEC-9,Submachine Guns,Primary,Semi-auto submachine gun. Improved accuracy with minimal recoil. High damage output with moderate range.,Battle Pass,30 rounds,35,46,46,28
LAPA,Submachine Guns,Primary,Full-auto submachine gun. Lightweight prototype with reliable damage and good firing control. Improved handling and range with a slower fire rate.,Challenge,30 rounds,39,50,49,33
UGR,Submachine Guns,Primary,Full-auto submachine gun. Underwater rifle modified for improved land performance. Fires 5.66mm steel darts with moderate bullet velocity.,Challenge,27 rounds,40,49,50,30
Type 63,Tactical Rifles,Primary,Semi-auto tactical rifle. High damage and reliable accuracy at long range with modest ammo capacity. Fair visibility and control while firing,Default,25 rounds,60,39,45,35
M16,Tactical Rifles,Primary,Burst fire tactical rifle. Excellent burst fire accuracy when aiming down sights. Good visibility while firing with a slightly pronounced delay between bursts,Level 10,30 rounds,45,35,50,36
AUG,Tactical Rifles,Primary,Burst fire tactical rifle. High damage with moderate recoil and slower movement speeds when firing. Built in optic provides 1.5x magnification.,Level 28,30 rounds,51,30,40,37
DMR 14,Tactical Rifles,Primary,Semi-auto tactical rifle. Increased fire rate with minimal recoil but less ammo. Maintains reliable damage over longer-range encounters.,Level 49,20 rounds,55,45,47,31
CARV.2,Tactical Rifles,Primary,Burst fire tactical rifle. Moderate firepower with improved recoil control and a larger ammo pool. Effective at mid-to-long range.,Challenge,45 rounds,42,49,45,40
Stoner 63,Light Machine Guns,Primary,Full-auto light machine gun. Improved fire rate with a large ammo capacity. Good recoil control and visibility when sustaining fire.,Default,75 rounds,50,22,44,50
